,State,Team,TeamCode
0,Georgia,Atlanta Hawks,ATL
1,Massachusetts,Boston Celtics, BOS
2,NewYork,Brooklyn Nets, BKN
3,North Carolina,Charlotte Hornets, CHA
4,Illinois,Chicago Bulls, CHI
5,Ohiio,Cleveland Cavaliers, CLE
6,Texas,Dallas Mavericks,D AL
7,Colorado,Denver Nuggets,DE N
8,Michigan,Detroit Pistons,D ET
9,California,Golden State Warriors, GSW
10,Texas,Houston Rockets,HO U
11,Indiana,Indiana Pacers,I ND
12,California,Los Angeles Clippers,L AC
13,California,Los Angeles Lakers,LA L
14,Tennessee,Memphis Grizzlies,MEM
15,Florida,Miami Heat,M IA
16,Wisconsin,Milwaukee Bucks,MI L
17,Minnesota,Minnesota Timberwolves,MI N
18,Louisiana,New Orleans Pelicans,NOP 
19,New York,New York Knicks, NYK
20,Oklahoma,Oklahoma City Thunder, OKC
21,Florida,Orlando Magic, ORL
22,Pennsylvania,Philadelphia 76ers,P HI
23,Arizona,Phoenix Suns,PH X
24,Oregon,Portland Trail Blazers,P OR
25,California,Sacramento Kings,SAC
26,Texas,San Antonio Spurs, SAS
27,Canada*,Toronto Raptors, TOR
28,Utah,Utah Jazz, UTA
29,Washington DC*,Washington Wizards, WAS
